852, -9000, 11692, -6, 33, 19, -192, -4952, 30600, -1458, -3150, -3578, -1752, -3520, 16324, -2870, -3743, -2891, -1744, -3812, 19312, -1987, -3528, -2213, -1372, -4352, 21868, -545, -3259, -1535, -1552, -4620, 24528, 1525, -3378, -1096, -2388, -4480, 26428, 4580, -3915, -38, -1896, -4804, 27880, 7932, -4451, 1123, -652, -5408, 28980, 10471, -4208, 1170, 188, -4720, 31296, 13456, -3251, 929
624, -3812, 32040, 17873, -2011, 1278, 1872, -5484, 28812, 971, 353, -1135, -720, -3840, 18192, -472, 46, -1360, -1388, -4168, 19208, -199, 258, -906, -1708, -4376, 20164, -705, 1141, 225, -2028, -4868, 21160, -1101, 2547, 1668, -1832, -5388, 22256, -1258, 3225, 2694, -1408, -5844, 23628, -599, 3402, 2704, -1540, -4932, 24968, 1093, 3332, 1783, -2860, -4516, 25192, 3829, 1634, 1313
-3772, -3976, 25400, 7090, -1395, 2486, 324, -5804, 22560, 4785, -2057, -1209, 100, -3108, 16864, 1623, -962, -726, 916, -3652, 18196, 1002, -810, -1365, 1380, -4280, 19852, 655, -1157, -2727, 516, -4916, 22004, 1215, -1187, -4280, -1228, -5528, 23988, 2841, -2328, -4458, -1924, -5308, 25932, 5911, -3882, -2577, -1324, -4512, 26644, 9678, -3417, -495, -416, -3828, 25640, 12781, -1353, 1058
-368, -3328, 24052, 14514, 478, 1767, 3816, -7120, 32767, 5946, 1904, 700, 3092, -4724, 24172, 4774, 1883, -13, 2352, -4968, 25732, 6148, 1848, -1674, 1120, -5092, 26372, 8073, 1817, -2724, 236, -5216, 26864, 10851, 2149, -3044, -828, -5936, 26084, 13625, 2526, -2733, -1960, -5848, 25632, 16393, 2780, -1888, -2580, -5436, 24612, 19681, 3033, -262, -2460, -4740, 22428, 23071, 3502, 1450
-2520, -4192, 19144, 25242, 3666, 2911, 1460, -6292, 31752, 7563, 1267, -63, 1048, -3988, 19580, 6610, -278, -609, 3128, -4404, 23208, 8997, -1721, -3974, 1864, -4520, 26904, 13421, -2698, -8653, 624, -5168, 30212, 21005, -3383, -11886, -2368, -5420, 29804, 29706, -4041, -12087, -4100, -5140, 26920, 32767, -5744, -8767, -3668, -4368, 23452, 32767, -7922, -4516, -2300, -3412, 20968, 32767, -9525, -1497
-1136, -2292, 18380, 32767, -10206, 96, 1776, -7276, 32767, 5582, 5882, -4234, -316, -5172, 24980, 6384, 3859, -5933, -2112, -5812, 27196, 10541, 800, -5888, -2816, -5888, 29728, 15162, -1196, -4652, -4668, -6540, 31576, 22971, -1652, -2201, -4752, -6804, 30296, 31311, -2084, 671, -4312, -6320, 26704, 32767, -3149, 2985, -3636, -5480, 23280, 32767, -5352, 4703, -2604, -4136, 19552, 32767, -7524, 5541
-1460, -2248, 14592, 32767, -7475, 5861, 1524, -7336, 32767, 7765, 2582, 1585, -152, -4108, 22204, 6965, 3152, 1508, 456, -4156, 22264, 8763, 3476, 551, -200, -4048, 22004, 10386, 3252, -53, -420, -3912, 21640, 12172, 3058, -343, -1192, -3840, 21212, 14148, 2685, -135, -1340, -3844, 20052, 15991, 2399, 152, -1792, -3852, 18500, 17329, 2282, 445, -2348, -3508, 17016, 18278, 2270, 779
-2520, -3224, 15972, 18850, 2249, 1121, 864, -6000, 28520, 7518, 2047, 1172, -456, -3732, 20476, 6441, 2043, -122, -1420, -4060, 21972, 7882, 1028, -1355, -2504, -3856, 22436, 9444, 132, -1538, -3092, -3912, 22460, 11496, 95, -1115, -3480, -3920, 22284, 13565, 78, -144, -3516, -3804, 21776, 16011, -160, 924, -3536, -3580, 20864, 18461, -483, 1546, -3788, -3096, 20192, 21291, -782, 2046
-3512, -2552, 19944, 24589, -1465, 2783, 1232, -4816, 32767, 12415, -176, -3344, -900, -1808, 24064, 14481, -1497, -6357, -2984, -1404, 25636, 19587, -4444, -6829, -3564, -1012, 25080, 24224, -7929, -4569, -2704, -908, 23776, 27827, -10300, -2342, -1660, -664, 21896, 29048, -10775, -1319, -1048, -604, 19792, 27941, -9906, -1616, -844, 0, 18292, 25682, -7666, -2824, -660, 360, 17840, 23775, -4542, -4330
-1676, 812, 16700, 22082, -981, -4723, -96, -7244, 32767, 5911, 2693, 3552, 724, -5596, 27684, 8994, 3801, 667, -1320, -5308, 29484, 15136, 2788, -3052, -3144, -5080, 28804, 20663, 469, -4073, -3844, -4616, 27108, 24795, -1515, -2865, -3688, -3912, 25536, 27911, -2281, -824, -3544, -3460, 25020, 31868, -2049, 1078, -3256, -3508, 22984, 32767, -1782, 2568, -3108, -3128, 20012, 32767, -2095, 3256
