-2180, 2908, 13924, -432, 3082, 2053, -2064, -2708, 29508, 1148, 1227, -727, -2244, -500, 15080, 28, 2884, 380, -2376, -324, 14808, 763, 3192, 926, -2244, -248, 14576, 594, 2777, 1290, -1760, -316, 14136, 240, 1921, 1087, -1804, -316, 13768, 63, 669, 901, -1868, -248, 13800, -479, -285, 610, -1860, -384, 13808, -736, -697, 549, -1988, -464, 14000, -853, -20, 542
-2204, -696, 14328, -521, 247, 1051, 1512, -1208, 27876, 1974, 386, -443, -912, 204, 14248, 81, 742, 279, -1240, 404, 14848, 131, 819, 18, -1104, 124, 14324, -59, 773, -69, -1304, 112, 14416, -54, 672, -110, -1424, 248, 14380, 11, 406, -65, -1276, 320, 14364, 32, 341, -83, -1296, 248, 14112, 2, 185, -211, -1272, 204, 13924, -116, -117, -211
-1272, 64, 14100, -331, -379, -195, 1096, -2600, 32188, 2497, 1955, -644, -1504, 704, 14912, 755, 1633, 37, -800, 280, 14372, 791, 1379, -57, -1140, 352, 14192, 179, 1214, -126, -920, 56, 14184, -58, 1003, -92, -1124, 160, 14228, 140, 744, -49, -1260, 20, 14088, 77, 388, -24, -1248, 208, 14076, -23, 130, -9, -1140, 20, 14148, -307, -74, 26
-1152, 68, 14280, -382, -45, 39, 1892, -1716, 28884, 1057, 1290, -558, -1380, 432, 14404, -645, 974, 60, -1124, -92, 14192, -164, 1094, -17, -680, -156, 14420, -110, 841, 88, -880, -96, 14284, 73, 561, 89, -936, -152, 14324, 347, 201, 26, -860, -252, 14240, 327, 180, -4, -968, 16, 14440, 206, 318, -14, -1124, -28, 14452, 309, 373, 75
-1308, 52, 14408, 459, 346, 179, 1216, -3596, 31972, 2226, 1580, -887, -712, -220, 14776, 784, 1558, -96, -1088, 104, 14112, 923, 1551, -143, -1340, 56, 14096, 247, 1328, -44, -1096, -120, 14224, -206, 1144, -27, -1352, -112, 14492, -209, 604, 35, -1176, -100, 14340, -66, 190, 118, -1308, -140, 14208, -18, -27, 172, -1212, -140, 14244, -3, -28, 195
-1328, -12, 14344, -189, -18, 259, 1144, -3096, 31432, 1484, 527, -640, -1396, 432, 15068, -174, 250, -196, -852, 40, 14140, 71, 675, -440, -1104, 108, 14420, -391, 739, -458, -1040, -72, 14540, -452, 766, -318, -1008, -44, 14556, -251, 557, -232, -1040, -140, 14596, -66, 510, -140, -1088, -216, 14736, 15, 377, -158, -1068, -240, 14268, -26, 378, -137
-1140, -196, 14324, -249, 343, -148, 200, -2616, 23040, 2159, 1855, -343, -628, -112, 14052, 114, 1486, 223, -964, 80, 14308, 168, 1395, 211, -1188, -8, 14140, -454, 1496, 2, -764, -88, 14216, -319, 1261, 139, -1468, -72, 14520, -446, 1094, -23, -1272, -132, 14388, -166, 911, 179, -1184, 20, 14548, -191, 737, 342, -872, -24, 14336, -164, 506, 418
-892, -108, 14324, -298, 342, 230, 256, -2468, 21236, 1302, 2012, -801, -1020, -164, 14600, -236, 2428, 33, -992, 120, 14840, 431, 2623, 270, -848, -112, 14608, 257, 2571, 407, -944, -264, 14408, 133, 1893, 288, -1232, -164, 14372, 155, 1140, 188, -1300, -68, 14340, 130, 667, 79, -1360, -24, 14032, 131, 168, 99, -1292, -44, 14180, 121, -93, 204
-1200, -36, 13864, -97, -197, 79, 1172, -2556, 32767, 2097, 2369, -821, -1620, 240, 14752, 232, 2182, 3, -1508, 84, 14588, 226, 2073, 171, -1312, 104, 14088, -412, 1839, 378, -1244, -88, 14004, -737, 1605, 373, -1224, -80, 14200, -563, 823, 311, -1276, -80, 14392, -389, 296, 115, -1316, -128, 14280, -222, -40, -25, -1412, -208, 14360, -65, -301, 38
-1396, -88, 14352, 61, -216, 110, 676, -2960, 27288, 1463, 1615, -523, -788, -132, 14876, -234, 1295, 145, -884, -72, 14156, -220, 1233, 99, -1068, 52, 14080, -851, 1184, 221, -1096, -44, 14400, -1074, 1099, 379, -1224, -76, 14436, -791, 980, 516, -956, -248, 14544, -536, 622, 453, -904, -396, 14308, -344, 147, 408, -764, -480, 14216, -458, -59, 158
