-1472, -720, 14596, -602, 471, 324, -2708, 3784, 4160, -4124, 2940, -3041, -2252, 5004, -3440, -8767, 3235, -1234, -1640, 3952, -5672, -13201, 2723, 404, 600, 3752, -4752, -18198, 1140, 1096, 2764, 4476, -3564, -22400, 199, -201, 4788, 3944, -448, -24388, -1466, -3462, 5176, 2156, 2420, -25987, -5472, -7556, 3940, -1764, 9364, -28204, -10781, -11240, 320, -5548, 19540, -25986, -14253, -12271
-3804, -7684, 26348, -18427, -13756, -8509, -1504, 4244, 15376, -15104, 9379, 2383, -1472, 6072, 3356, -18679, 9678, 4130, -1392, 5480, 2252, -20216, 8752, 4630, -828, 5340, 688, -22624, 7119, 4155, 228, 5004, -1076, -25994, 5570, 2397, 1740, 4428, -2080, -30166, 4293, -717, 2288, 3360, -1268, -32512, 2572, -4861, 1700, 1080, 964, -32512, -231, -8446, 184, -1108, 4628, -32512, -3998, -10183
-692, -1452, 7236, -32512, -7173, -10967, -1220, 4348, 19724, -11107, 3864, -968, -1348, 5748, 4112, -12869, 3125, 224, -1564, 5612, 3000, -13079, 1197, 541, -972, 5124, 1652, -14349, -1057, 418, 168, 4788, 524, -17660, -2389, -397, 544, 4432, 424, -22491, -1945, -1435, 508, 3584, 1172, -28776, 109, -1804, -384, 2324, 2896, -32512, 2412, -1610, -1868, 128, 6644, -32512, 2634, -729
-2740, -1496, 10856, -32512, -307, 253, 1520, 4200, 16968, -17650, 7250, -3448, 876, 6744, -2268, -23224, 7477, -4634, 1532, 5548, -2304, -26120, 6888, -6459, 1328, 4208, -1872, -29394, 5509, -7406, 1364, 2864, -952, -32706, 3417, -8562, 1948, 1148, 984, -32512, 777, -10526, 1356, -1472, 4852, -32512, -2164, -13159, -1100, -3816, 10156, -32512, -5810, -14499, -2816, -4784, 15152, -32512, -8982, -13891
-3756, -5236, 17704, -29336, -11215, -12576, 2408, -1344, 10176, -25751, -2748, -6766, 928, -1020, 5800, -30403, -1814, -7815, -1128, -260, 9124, -30664, -1506, -7899, -2328, -1256, 10336, -28355, -1954, -5410, -1776, -416, 10380, -26007, -2729, -3621, 184, -1316, 10428, -26333, -4563, -3812, 660, -2224, 13096, -28128, -7502, -5707, -656, -3832, 16988, -28855, -10592, -7249, -2068, -4892, 21156, -26426, -13047, -7131
-2748, -4864, 23552, -21261, -13124, -6249, 164, -336, 22392, -1645, 4973, -4980, -1676, 1912, 8008, -3346, 4563, -4631, -3012, 2612, 6956, -3415, 2011, -3665, -2960, 2664, 6404, -4007, -704, -2268, -2880, 2896, 5708, -4428, -2604, -899, -1660, 3052, 4816, -4979, -3623, 111, -804, 3228, 3908, -6396, -3924, -184, -1464, 2744, 3424, -8529, -4310, -747, -1900, 1900, 4624, -10485, -4485, -286
-1300, -48, 5632, -12474, -3408, 332, -1416, -1316, 20112, -712, -795, -2630, -1520, 1084, 8832, -2826, -337, -1280, -1236, 1344, 8112, -3115, -340, -1097, -1004, 1724, 6924, -3866, -453, -780, -468, 2044, 5484, -4990, -404, -1118, -652, 2596, 4752, -6597, -1095, -1803, -656, 2584, 4416, -8119, -1998, -2569, -76, 732, 6160, -9836, -2805, -3715, -404, -780, 8588, -11615, -2485, -4810
-1544, -1692, 10812, -12163, -1331, -5060, 1092, 1440, 20424, -4757, -7, -3017, 1944, 696, 5692, -8446, 307, -4575, 2220, -1184, 6732, -11831, -777, -8025, 232, -2636, 9304, -14221, -2758, -10929, -2076, -4112, 12648, -12901, -5159, -11477, -4232, -3872, 14328, -8714, -6595, -9361, -4464, -3296, 13768, -3522, -6904, -5642, -4024, -1680, 11492, -71, -6774, -2099, -2388, -796, 8676, 295, -6098, 91
-508, -788, 6772, -4145, -5218, 807, 412, -544, 21336, -2185, -1477, -210, 1576, 104, 5228, -7501, -2394, -2074, 1160, -540, 5968, -11918, -3304, -4327, -568, -1044, 7752, -14253, -4044, -5474, -2372, -1496, 9644, -13742, -5080, -5004, -3528, -2040, 9900, -11362, -6415, -3037, -3620, -2152, 9192, -8254, -8169, -393, -2056, -3784, 8504, -7446, -9951, 1181, -244, -4832, 9024, -9987, -10602, 1309
904, -5400, 11160, -14054, -9720, 7, -636, -1092, 20196, -11970, -8519, -4453, -1300, -84, 4856, -14567, -7614, -3239, -620, -80, 4420, -14286, -6670, -2699, -712, -492, 3648, -14584, -5691, -1676, -740, -468, 3384, -14964, -4869, -798, -24, -1000, 2896, -15523, -3574, 148, 1884, -1752, 3328, -16977, -2400, -247, 3244, -3792, 5140, -20307, -3221, -3371, 3188, -7276, 8672, -24618, -7354, -8254
932, -9308, 14228, -27048, -13173, -12142, -804, -1880, 12740, -10918, -331, -5491, -2028, 1224, -2236, -13144, -2017, -2569, -2576, 1516, -2744, -14318, -5743, 549, -588, -956, -1532, -18769, -8629, 1940, -496, -2564, 1908, -25407, -10235, 1909, -784, -4320, 6732, -29970, -11773, 1577, -920, -5896, 12628, -29722, -13589, 1320, 324, -7476, 17596, -26776, -15502, 795, 2716, -9632, 22420, -24484, -16185, -1001
4208, -13112, 27600, -25676, -15292, -4457, -40, -3220, 17944, -11915, 459, -4288, 1128, -648, 4012, -13283, 2420, -4318, 4168, -3552, 4912, -17541, 2429, -7490, 3292, -6732, 10052, -26449, -31, -12418, -220, -10304, 18728, -31638, -7217, -15122, -2912, -12236, 27664, -29491, -15144, -14100, -3852, -12564, 32767, -22227, -20109, -10919, -2632, -13180, 32767, -14179, -18739, -8022, -1264, -13532, 32767, -10562, -13825, -5574
-448, -14532, 32767, -11710, -8333, -4953, 516, 72, 23312, -4047, -1025, -1370, -316, 1648, 6312, -6886, -55, -2049, -316, 620, 6012, -5955, -5, -2176, -264, 480, 4652, -4091, -325, -1542, 1104, 304, 2540, -3677, -1168, -1870, 1052, 1192, 288, -5009, -2587, -3407, 776, 872, -1232, -8142, -4244, -4475, 88, 1532, -1836, -11758, -5008, -5339, -276, 1872, -1732, -15067, -5597, -5501
-904, 1316, -856, -17861, -6099, -5050, -616, -384, 22884, -6204, -1745, -2111, -656, 2408, 4912, -7701, -1857, -1771, -260, 2488, 3672, -7417, -2744, -2247, -228, 1944, 3144, -7633, -3679, -2770, -728, 2176, 2676, -7829, -4912, -3191, -1092, 1768, 2148, -8367, -6115, -3446, -520, 760, 2620, -11684, -7262, -3806, -664, 68, 4876, -16927, -7667, -4356, -1796, -560, 8204, -20071, -7464, -4694
